к.соц.н.|кандидат социологических наук
к.и.н.|кандидат исторических наук
к.филос.н.|кандидат философских наук
к.м.н.|кандидат медицинских наук
к.пед.н.|кандидат педагогических наук
к.полит.н.|кандидат политических наук
к.п.н.|кандидат психологических наук
к.х.н.|кандидат химических наук
к.э.н.|кандидат экономических наук
к.ю.н.|кандидат юридических наук
д.соц.н.|доктор социологических наук
к.фил.н. | кандидат филологических наук
д.и.н.|доктор исторических наук
д.филос.н.|доктор философских наук
д.м.н.|доктор медицинских наук
д.пед.н.|доктор педагогических наук
д.полит.н.|доктор политических наук
д.п.н.|доктор психологических наук
д.х.н.|доктор химических наук
д.э.н.|доктор экономических наук
д.ю.н.|доктор юридических наук
д.к.| доктор культороведения

