Year;Спрос;Добыча;Импорт;0;После задачи пользователем;Импорт ТП;Импорт СПГ;1;После проверок;Импорт ТП;Импорт СПГ
2012;195,91;145,73;0,00;;;0,00;0,00;;;0,00;0,00
2013;231,70;156,62;20,36;;;14,25;6,11;;;14,25;6,11
2014;248,66;167,52;15,62;;;10,93;4,69;;;10,93;4,69
2015;277,75;182,07;19,36;;;13,55;5,81;;;13,55;5,81
2016;309,63;191,93;28,57;;;20,00;8,57;;;20,00;8,57
2017;343,40;200,21;35,48;;;24,84;10,64;;;24,84;10,64
2018;381,76;211,10;49,34;;;34,54;14,80;;;34,54;14,80
2019;401,03;222,00;50,92;;;35,64;15,27;;;35,64;15,27
2020;427,95;232,89;60,13;;;42,09;18,04;;;42,09;18,04
2021;438,35;245,42;56,65;;;39,65;16,99;;;39,65;16,99
2022;451,78;257,95;56,18;;;39,33;16,86;;;39,33;16,86
2023;468,39;270,48;58,90;;;41,23;17,67;;;41,23;17,67
2024;488,34;283,01;64,97;;;45,48;19,49;;;45,48;19,49
2025;511,60;295,54;74,34;;;52,03;22,30;;;52,03;22,30
2026;538,31;308,89;87,70;;;61,39;26,31;;;61,39;26,31
2027;567,42;322,24;103,46;;;72,42;31,04;;;72,42;31,04
2028;598,27;335,58;120,97;;;84,68;36,29;;;84,68;36,29
2029;630,36;348,93;139,71;;;97,80;41,91;;;97,80;41,91
2030;662,95;362,28;158,95;;;111,27;47,69;;;111,27;47,69
2031;693,71;376,44;175,54;;;122,88;52,66;;;122,88;52,66
2032;724,29;390,61;191,97;;;134,38;57,59;;;134,38;57,59
2033;754,72;404,77;208,23;;;145,76;62,47;;;145,76;62,47
2034;784,34;418,93;223,69;;;156,58;67,11;;;156,58;67,11
2035;812,76;433,10;237,94;;;166,56;71,38;;;166,56;71,38
