;Пессимистический;Базовый;Оптимистический;Пессимистический ВВП Высокие цены;Пессимистический ВВП Средние цены;Базовый ВВП Высокие цены;Базовый ВВП Низкие цены;Оптимистический ВВП Средние цены;Оптимистический ВВП Низкие цены;;
2012;;;;;;;;;;;
2013;;;;;;;;;;;
2014;;;;;;;;;;;
2015;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;;2
2016;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;;2
2017;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;;2
2018;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;;2
2019;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;;2
2020;2.5;2.5;2.6;2.5;2.5;2.5;2.5;2.6;2.6;;3
2021;2.7;2.7;2.8;2.8;2.7;2.8;2.7;2.7;2.7;;3
2022;2.9;2.9;3.1;3.0;2.8;3.1;2.9;2.9;2.9;;3
2023;3.0;3.1;3.4;3.2;3.0;3.3;3.1;3.1;3.1;;3
2024;3.2;3.2;3.6;3.5;3.2;3.6;3.3;3.3;3.3;;3
2025;3.4;3.4;3.9;3.7;3.4;3.8;3.5;3.5;3.5;;3
2026;3.5;3.6;4.1;4.0;3.5;4.1;3.6;3.7;3.7;;4
2027;3.7;3.8;4.4;4.2;3.7;4.3;3.8;3.8;3.9;;4
2028;3.9;4.0;4.7;4.4;3.9;4.6;4.0;4.0;4.1;;4
2029;4.1;4.1;4.9;4.7;4.0;4.8;4.2;4.2;4.3;;4
2030;4.3;4.3;5.2;4.9;4.2;5.0;4.4;4.4;4.5;;4
2031;4.4;4.5;5.4;5.2;4.4;5.3;4.6;4.6;4.7;;5
2032;4.6;4.7;5.7;5.4;4.6;5.5;4.8;4.8;4.9;;5
2033;4.8;4.9;5.9;5.6;4.8;5.8;5.0;5.0;5.1;;5
2034;5.0;5.1;6.2;5.9;4.9;6.0;5.2;5.2;5.3;;5
2035;5.2;5.2;6.4;6.1;5.1;6.2;5.4;5.4;5.5;;5
