Пессимистический;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Темп роста ВВП Факт;;;;;;;Вклад Капитала;;;;;;;Вклад Занятости;;;;;;;Вклад Совокупной производительности факторов производства c корректировкой на мультипликативный эффект и коррекцией на разницу между фактом и прогнозом на 2013-2015;;;;;
;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035
United States;1.959;1.977;1.726;1.690;1.705;1.774;;1.152;0.674;0.617;0.555;0.517;0.591;;0.323;0.409;0.220;0.245;0.298;0.293;;0.484;0.893;0.890;0.889;0.890;0.890
China;9.500;6.209;5.480;4.619;3.713;5.001;;4.391;2.548;1.924;1.624;1.399;1.873;;0.431;-0.126;-0.196;-0.201;-0.249;-0.193;;4.678;3.788;3.752;3.196;2.564;3.321
Japan;0.820;1.308;1.109;0.819;0.558;0.948;;0.370;0.447;0.507;0.460;0.370;0.446;;-0.152;-0.243;-0.333;-0.417;-0.536;-0.382;;0.602;1.104;0.935;0.776;0.724;0.885
Germany;1.263;0.903;0.566;0.424;0.603;0.624;;0.609;0.405;0.312;0.201;0.119;0.259;;0.274;-0.392;-0.684;-0.791;-0.613;-0.620;;0.380;0.891;0.938;1.015;1.097;0.985
United Kingdom;1.828;1.757;1.566;1.515;1.529;1.591;;0.904;0.322;0.299;0.297;0.297;0.304;;0.331;0.184;0.036;0.027;0.069;0.079;;0.593;1.251;1.231;1.191;1.163;1.209
France;1.207;1.643;1.435;1.426;1.466;1.493;;0.873;0.464;0.430;0.398;0.379;0.418;;0.528;0.109;-0.062;-0.024;0.039;0.016;;-0.194;1.071;1.067;1.052;1.047;1.059
Italy;0.236;1.529;1.093;0.965;0.949;1.134;;0.554;0.264;0.375;0.365;0.320;0.331;;0.449;0.017;-0.457;-0.549;-0.535;-0.381;;-0.767;1.248;1.175;1.149;1.164;1.184
India;6.945;5.729;5.527;5.350;5.171;5.444;;3.286;2.092;1.820;1.729;1.685;1.831;;0.943;0.824;0.804;0.685;0.557;0.718;;2.716;2.814;2.902;2.936;2.929;2.895
Canada;2.132;1.745;1.403;1.489;1.644;1.570;;1.465;0.843;0.611;0.488;0.450;0.598;;0.834;0.327;0.063;0.148;0.275;0.203;;-0.166;0.576;0.729;0.854;0.919;0.770
Brazil;2.689;2.673;2.312;2.033;1.880;2.224;;1.216;1.602;1.503;1.300;1.108;1.378;;1.165;0.646;0.363;0.209;0.101;0.329;;0.308;0.424;0.446;0.524;0.671;0.516
Korea, Republic of;4.047;2.215;2.019;1.842;1.832;1.977;;1.769;1.257;1.167;0.991;0.838;1.063;;0.775;0.315;-0.055;-0.242;-0.280;-0.066;;1.503;0.643;0.906;1.093;1.274;0.979
Spain;1.663;0.876;0.959;0.944;0.691;0.867;;1.132;0.338;0.418;0.448;0.423;0.406;;0.746;0.050;-0.038;-0.103;-0.390;-0.120;;-0.215;0.488;0.580;0.598;0.657;0.581
Mexico;2.313;4.116;3.547;3.043;2.631;3.333;;1.561;1.755;1.757;1.614;1.427;1.638;;1.185;1.086;0.786;0.618;0.446;0.734;;-0.434;1.275;1.004;0.811;0.757;0.961
Russian Federation;3.986;2.734;2.206;2.091;1.948;2.244;;0.673;1.265;1.019;0.818;0.670;0.943;;0.495;-0.493;-0.614;-0.383;-0.323;-0.453;;2.818;1.962;1.801;1.656;1.601;1.755
Australia;2.908;1.772;1.564;1.687;1.814;1.709;;2.035;0.993;0.636;0.515;0.510;0.663;;1.137;0.556;0.449;0.508;0.523;0.509;;-0.264;0.223;0.479;0.664;0.781;0.537
