;Пессимистический;Базовый;Оптимистический;Пессимистический ВВП Высокие цены;Пессимистический ВВП Средние цены;Базовый ВВП Высокие цены;Базовый ВВП Низкие цены;Оптимистический ВВП Средние цены;Оптимистический ВВП Низкие цены;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;
2015;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;;0,3;;;;;;;;;;;;;
2016;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;;0,3;;;;;;;;;;;;;
2017;0,3;0,3;0,4;0,4;0,3;0,4;0,3;0,3;0,3;;0,3;;;;;;;;;;;;;
2018;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;;0,4;;;;;;;;;;;;;
2019;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;;0,4;;;;;;;;;;;;;
2020;0,4;0,4;0,5;0,5;0,4;0,5;0,4;0,4;0,4;;0,4;;;;;;;;;;;;;
2021;0,4;0,4;0,6;0,6;0,4;0,6;0,4;0,4;0,4;;0,4;;;;;;;;;;;;;
2022;0,5;0,5;0,6;0,6;0,5;0,6;0,5;0,5;0,5;;0,5;;;;;;;;;;;;;
2023;0,5;0,5;0,7;0,7;0,5;0,7;0,5;0,5;0,5;;0,5;;;;;;;;;;;;;
2024;0,5;0,6;0,8;0,8;0,5;0,8;0,5;0,6;0,5;;0,6;;;;;;;;;;;;;
2025;0,5;0,6;0,9;0,9;0,5;0,9;0,5;0,6;0,5;;0,6;;;;;;;;;;;;;
2026;0,6;0,6;0,9;0,9;0,6;0,9;0,6;0,6;0,6;;0,6;;;;;;;;;;;;;
2027;0,6;0,7;1,0;1,0;0,6;1,0;0,6;0,7;0,6;;0,7;;;;;;;;;;;;;
2028;0,6;0,7;1,0;1,0;0,6;1,0;0,6;0,7;0,6;;0,7;;;;;;;;;;;;;
2029;0,6;0,8;1,0;1,0;0,6;1,0;0,6;0,8;0,6;;0,8;;;;;;;;;;;;;
2030;0,7;0,8;1,0;1,0;0,7;1,0;0,7;0,8;0,7;;0,8;;;;;;;;;;;;;
2031;0,7;0,8;1,1;1,1;0,7;1,1;0,7;0,8;0,7;;0,8;;;;;;;;;;;;;
2032;0,7;0,9;1,2;1,2;0,7;1,2;0,7;0,9;0,7;;0,9;;;;;;;;;;;;;
2033;0,8;0,9;1,3;1,3;0,8;1,3;0,8;0,9;0,8;;0,9;;;;;;;;;;;;;
2034;0,8;1,0;1,4;1,4;0,8;1,4;0,8;1,0;0,8;;1,0;;;;;;;;;;;;;
2035;0,8;1,0;1,4;1,4;0,8;1,4;0,8;1,0;0,8;;1,0;;;;;;;;;;;;;
