Выбранный сценарий по цене нефти;1;2;3;4;5;6;1;2;3;4;5;6;1;2;3;4;5;6;1;2;3;4;5;6
Выбранный сценарий по темпам роста ВВП;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;4
;;;;;;;;;;;;;;;;;;;;;;;;
На сколько лет хватит резервов нефтяного фонда:;3;4;5;6;9;12;3;4;5;6;8;10;3;3;4;5;6;8;3;3;4;5;6;7
;;;;;;;;;;;;;;;;;;;;;;;;
До какого года хватит резервов нефтяного фонда:;2018;2019;2020;2021;2024;2027;2018;2019;2020;2021;2023;2025;2018;2018;2019;2020;2021;2023;2018;2018;2019;2020;2021;2022
;;;;;;;;;;;;;;;;;;;;;;;;
Объем нефтяного фонда Саудовской Аравии, млрд. долл. (в реальных ценах 2005 г.);;;;;;;;;;;;;;;;;;;;;;;;
2015 факт;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608;608
2016;479;497;515;532;550;568;481;499;517;535;553;570;477;495;513;530;548;566;474;492;510;528;545;563
2017;295;349;404;458;512;567;296;351;405;459;513;568;283;337;391;445;500;554;274;328;382;436;490;545
2018;102;195;288;380;473;565;98;191;283;376;468;561;67;160;252;344;437;529;51;143;235;328;420;513
2019;-101;32;164;297;429;562;-115;17;150;282;415;547;-173;-40;92;224;356;489;-198;-66;66;198;330;463
2020;-317;-144;30;203;377;550;-346;-173;0;174;347;520;-439;-266;-93;80;253;426;-477;-305;-132;41;214;387
2021;-546;-331;-115;101;316;532;-596;-380;-165;50;266;481;-734;-519;-304;-89;126;341;-789;-574;-359;-145;70;285
2022;-791;-532;-274;-15;243;502;-867;-609;-351;-93;166;424;-1059;-802;-544;-287;-29;229;-1137;-880;-623;-366;-108;149
2023;-1052;-750;-449;-147;155;458;-1161;-860;-559;-258;44;346;-1417;-1117;-816;-516;-215;86;-1527;-1228;-927;-627;-327;-26
2024;-1331;-986;-641;-295;50;396;-1481;-1137;-792;-447;-102;243;-1811;-1467;-1124;-780;-436;-91;-1963;-1620;-1277;-933;-589;-245
2025;-1630;-1241;-852;-463;-73;317;-1829;-1441;-1052;-664;-275;114;-2243;-1856;-1469;-1081;-694;-306;-2449;-2062;-1676;-1289;-902;-514
2026;-1949;-1516;-1083;-649;-215;219;-2205;-1774;-1341;-909;-476;-42;-2716;-2286;-1855;-1424;-992;-560;-2989;-2559;-2129;-1698;-1267;-836
2027;-2289;-1812;-1334;-856;-378;101;-2613;-2137;-1661;-1184;-706;-228;-3234;-2759;-2285;-1809;-1333;-857;-3588;-3115;-2641;-2166;-1692;-1216
2028;-2653;-2131;-1609;-1087;-564;-40;-3055;-2535;-2014;-1493;-971;-449;-3799;-3281;-2762;-2243;-1723;-1202;-4254;-3737;-3219;-2701;-2182;-1663
2029;-3041;-2475;-1908;-1341;-774;-205;-3533;-2969;-2404;-1838;-1272;-705;-4415;-3853;-3290;-2726;-2162;-1598;-4992;-4431;-3870;-3307;-2745;-2181
2030;-3455;-2844;-2233;-1622;-1009;-396;-4049;-3441;-2832;-2222;-1611;-1000;-5085;-4479;-3872;-3265;-2656;-2047;-5808;-5204;-4599;-3993;-3386;-2778
2031;-3896;-3241;-2586;-1929;-1272;-615;-4607;-3955;-3301;-2647;-1992;-1336;-5813;-5163;-4513;-3861;-3208;-2555;-6711;-6063;-5414;-4764;-4113;-3462
2032;-4366;-3667;-2967;-2266;-1564;-861;-5210;-4513;-3815;-3116;-2416;-1716;-6604;-5910;-5215;-4520;-3823;-3125;-7708;-7016;-6324;-5630;-4935;-4240
2033;-4868;-4124;-3379;-2634;-1887;-1140;-5859;-5118;-4376;-3633;-2889;-2144;-7461;-6724;-5985;-5246;-4505;-3763;-8808;-8073;-7337;-6600;-5862;-5122
2034;-5401;-4613;-3824;-3034;-2243;-1451;-6559;-5774;-4988;-4201;-3413;-2623;-8390;-7609;-6826;-6043;-5258;-4472;-10021;-9243;-8464;-7683;-6901;-6118
2035;-5968;-5136;-4303;-3469;-2634;-1797;-7313;-6484;-5654;-4823;-3990;-3157;-9393;-8569;-7743;-6916;-6087;-5257;-11357;-10536;-9713;-8889;-8064;-7237
;;;;;;;;;;;;;;;;;;;;;;;;
;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2019 г.;Резервов фонда хватит до 2020 г.;Резервов фонда хватит до 2021 г.;Резервов фонда хватит до 2024 г.;Резервов фонда хватит до 2027 г.;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2019 г.;Резервов фонда хватит до 2020 г.;Резервов фонда хватит до 2021 г.;Резервов фонда хватит до 2023 г.;Резервов фонда хватит до 2025 г.;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2019 г.;Резервов фонда хватит до 2020 г.;Резервов фонда хватит до 2021 г.;Резервов фонда хватит до 2023 г.;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2018 г.;Резервов фонда хватит до 2019 г.;Резервов фонда хватит до 2020 г.;Резервов фонда хватит до 2021 г.;Резервов фонда хватит до 2022 г.
